Country,Capital City,Latitude,Longitude,Population,Capital Type
Swaziland,Мбабане,-26.3167,31.1333,68010,Capital
Sweden,Стокгольм,59.3326,18.0649,1582968,Capital
Switzerland,Берн,46.9481,7.4474,422153,Capital
Syrian Arab Republic,Дамаск,33.5086,36.3084,2319545,Capital
TFYR Macedonia,Скопье,42.0000,21.4333,584208,Capital
Thailand,Бангког,13.7220,100.5252,10156316,Capital
Timor-Leste,Дили,-8.5601,125.5668,281135,Capital
Togo,Ломэ,6.1375,1.2123,1745744,Capital
Tokelau,Токелао,-9.3800,-171.2500,0,Others
Tonga,Нукуалофа,-21.1394,-175.2032,22904,Capital
Trinidad and Tobago,Порт-оф-Спейн,10.6662,-61.5166,544417,Capital
Tunisia,Тунис,36.8190,10.1658,2290777,Capital
Turkey,Анкара,39.9199,32.8543,4919074,Capital
Turkmenistan,Ашхабад,37.9500,58.3833,810186,Capital
Turks and Caicos Islands,Кобэрн-Таун,21.4612,-71.1419,5447,Capital
Tuvalu,Фунафути,-8.5189,179.1991,7042,Capital
Uganda,Кампала,0.3163,32.5822,2986352,Capital
Ukraine,КИЕВ,50.4454,30.5186,2956706,Capital
United Arab Emirates,Абу-Даби,24.4648,54.3618,1419699,Capital
United Kingdom,ЛОНДОН,51.5085,-0.1257,9046485,Capital
United Republic of Tanzania,Додома,-6.1722,35.7395,261645,Capital
United States of America,Вашингтон,38.8951,-77.0364,5206593,Capital
United States Virgin Islands,Шарлотта-Амалия,18.3419,-64.9307,52322,Capital
Uruguay,Мондэвидео,-34.8335,-56.1674,1736989,Capital
Vanuatu,Порт-Вилла,-17.7338,168.3219,52690,Capital
Venezuela (Bolivarian Republic of),Каракас,10.4880,-66.8792,2934560,Capital
Viet Nam,Ханой,21.0245,105.8412,4282738,Capital
Wallis and Futuna Islands,Мата-Уту,-13.2816,-176.1745,1025,Capital
Western Sahara,Эль-Аюн,27.1532,-13.2014,232388,Capital
Yemen,Сана,15.3531,44.2078,2779317,Capital
Zambia,Лусака,-15.4134,28.2771,2523844,Capital
Zimbabwe,Хараре,-17.8294,31.0539,1515016,Capital
China,ПЕКИН,39.9067,116.3975,18522000,Capital
Uzbekistan,ТАШКЕНТ,41.3111,69.2797,2956384,Capital
Kazakhstan,АЛМАТЫ,43.24,76.915,1916822,Capital
Kazakhstan,Шымкент,42.3167,69.5958,1184113,Capital
Kyrgyzstan,БИШКЕК,42.8747,74.6122,1120827,Capital
Kazakhstan,АСТАНА,51.1472,71.4222,1078362,Capital
China,Кашгар,39.4681,75.9938,920000,Capital
Tajikistan,ДУШАНБЭ,38.5367,68.78,863400,Capital
China,Шаче,38.4261,77.25,851374,Capital
Tajikistan,Худжанд,40.2833,69.6333,770000,Others
China,Корла,41.7259,86.1746,770000,Capital
